Product Name,Product Slug,Suggested Keywords
"Petitgrain Positivity Enhancing Oil","14-petitgrain-positivity-enhancing-oil","ayurvedic, natural remedy, divine cardinal, petitgrain positivity enhancing oil, petitgrain, positivity, enhancing, oil, wellness category, wellness, category, essential oils: sandalwood, s: sandalwood, extracts: sandalwood, geranium, ylang ylang | carrier oils: walnut oil, jajoba"
"Plai Muscle Ache Relief Oil","plai-muscle-ache-relief-oil","ayurvedic, natural remedy, divine cardinal, plai muscle ache relief oil, plai, muscle, ache, relief, oil, wellness category, wellness, category, essential oils: plai, s: plai, extracts: plai, rosemary, lavender, peppermint, ginger, immortelle | carrier oils: black seed oil, evening prime rose"
"Vetiver Anti-Emotional Stress Oil","vetiver-anti-emotional-stress-oil","ayurvedic, natural remedy, divine cardinal, vetiver anti-emotional stress oil, vetiver, antiemotional, stress, oil, wellness category, wellness, category, essential oils: geranium, s: geranium, extracts: geranium, bergamot, orange sweet, frankincense, vetiver | carrier oils: walnut oil, jajoba"
"Immortelle Mood Swing Soothing Oil","immortelle-mood-swing-soothing-oil","ayurvedic, natural remedy, divine cardinal, immortelle mood swing soothing oil, immortelle, mood, swing, soothing, oil, wellness category, wellness, category, essential oils: ylang ylang, s: ylang ylang, extracts: ylang ylang, orange sweet, cardamom | carrier oils: walnut oil, jajoba"
"Immortelle Leg Cramp Relief Oil","immortelle-leg-cramp-relief-oil","ayurvedic, natural remedy, divine cardinal, immortelle leg cramp relief oil, immortelle, leg, cramp, relief, oil, wellness category, wellness, category, essential oils: neroli, s: neroli, extracts: neroli, mandarin, bergamot | carrier oils: walnut oil, jajoba"
"Lavender Bed Sore Relief Oil","lavender-bed-sore-relief-oil","ayurvedic, natural remedy, divine cardinal, lavender bed sore relief oil, lavender, bed, sore, relief, oil, wellness category, wellness, category, essential oils: cedarwood, s: cedarwood, extracts: cedarwood, immortelle, cypress, juniper berry | carrier oils: walnut oil, jajoba"
"Clary Sage Insomnia Relief Oil","clary-sage-insomnia-relief-oil","ayurvedic, natural remedy, divine cardinal, clary sage insomnia relief oil, clary, sage, insomnia, relief, oil, wellness category, wellness, category, essential oils: geranium, s: geranium, extracts: geranium, grape fruit, petitgrain, frankincense | carrier oils: walnut oil, jajoba"
"Eucalyptus Bronchitis Relief Oil","eucalyptus-bronchitis-relief-oil","ayurvedic, natural remedy, divine cardinal, eucalyptus bronchitis relief oil, eucalyptus, bronchitis, relief, oil, wellness category, wellness, category, essential oils: grape fruit, s: grape fruit, extracts: grape fruit, orange sweet, bergamot | carrier oils: walnut oil, jajoba"
"Rosemary Stroke Body Massage Oil","28-rosemary-stroke-body-massage-oil","ayurvedic, natural remedy, divine cardinal, rosemary stroke body massage oil, rosemary, stroke, body, massage, oil, wellness category, wellness, category, essential oils: lavender, s: lavender, extracts: lavender, chamomile roman, tea tree | carrier oils: carrot seed, grapeseed oil"
"Geranium Facial Stroke Massage Oil","29-geranium-facial-stroke-massage-oil","ayurvedic, natural remedy, divine cardinal, geranium facial stroke massage oil, geranium, facial, stroke, massage, oil, wellness category, wellness, category, essential oils: clary sage, s: clary sage, extracts: clary sage, vetiver, sugandh bala, lavender, bergamot | carrier oils: avocardo oil, grapeseed oil"
"Headache Relieving Peppermint Oil","headache-relieving-peppermint-oil","ayurvedic, natural remedy, divine cardinal, headache relieving peppermint oil, headache, relieving, peppermint, oil, wellness category, wellness, category, essential oils: niaouli, s: niaouli, extracts: niaouli, chamomile roman, rosemary, frankincense, eucalyptus | carrier oils: evening prime rose"
"Eczema Soothing Bergamot Oil","31-eczema-soothing-bergamot-oil","ayurvedic, natural remedy, divine cardinal, eczema soothing bergamot oil, eczema, soothing, bergamot, oil, wellness category, wellness, category, essential oils: thyme linalol, s: thyme linalol, extracts: thyme linalol, eucalyptus, ravensara, niaouli, frankincense, ginger | carrier oils: black seed oil, evening prime rose"
"Swollen Ankle and Feet Massage Oil","swollen-ankle-and-feet-massage-oil","ayurvedic, natural remedy, divine cardinal, swollen ankle and feet massage oil, swollen, ankle, and, feet, massage, oil, wellness category, wellness, category, essential oils: ginger, s: ginger, extracts: ginger, lemon, cardamom, black pepper | carrier oils: black seed oil"
"Spasmodic Pain Relief Massage Oil","spasmodic-pain-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, spasmodic pain relief massage oil, spasmodic, pain, relief, massage, oil, women's care, womens, care, essential oils: lavender, s: lavender, extracts: lavender, peppermint, cypress, marjoram sweet, immortelle | carrier oils: black seed oil, evening prime rose"
"Depressed PMS Relief Massage Oil","depressed-pms-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, depressed pms relief massage oil, depressed, pms, relief, massage, oil, women's care, womens, care, essential oils: rose, s: rose, extracts: rose, geranium, clary sage, orange sweet, grape fruit | carrier oils: black seed oil, evening prime rose"
"Heaviness PMS Relief Massage Oil","heaviness-pms-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, heaviness pms relief massage oil, heaviness, pms, relief, massage, oil, women's care, womens, care, essential oils: juniper berry, s: juniper berry, extracts: juniper berry, black pepper, coriander seed, geranium, peppermint, cypress, lemon | carrier oils: black seed oil, evening prime rose"
"Infertility","infertility","ayurvedic, natural remedy, divine cardinal, infertility, women's care, womens, care, essential oils: cardamom, s: cardamom, extracts: cardamom, bergamot, clary sage, geranium | carrier oils: black seed oil, evening prime rose"
"Exhaustion Relief Massage Oil","exhaustion-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, exhaustion relief massage oil, exhaustion, relief, massage, oil, men care, care, essential oils: vetiver, s: vetiver, extracts: vetiver, frankincense, bergamot, marjoram sweet, clary sage, chamomile roman, sugandh bala | carrier oils: black seed oil, evening prime rose"
"Juniper Berry Anti Hair-Loss Hair Oil","juniper-berry-anti-hair-loss-hair-oil","ayurvedic, natural remedy, divine cardinal, juniper berry anti hair-loss hair oil, juniper, berry, anti, hairloss, hair, oil, men care, care, essential oils: rosemary, s: rosemary, extracts: rosemary, geranium, lavender, cypress, juniper berry | carrier oils: argan, jajoba, amla oil"
"Lavender Shaving Oil","lavender-shaving-oil","ayurvedic, natural remedy, divine cardinal, lavender shaving oil, lavender, shaving, oil, men care, care, essential oils: geranium, s: geranium, extracts: geranium, tea tree | carrier oils: argan, jajoba"
"Chamomile Shaving Cut Serum","chamomile-shaving-cut-serum","ayurvedic, natural remedy, divine cardinal, chamomile shaving cut serum, chamomile, shaving, cut, serum, men care, care, essential oils: lavender, s: lavender, extracts: lavender, chamomile roman | carrier oils: neem oil, jajoba"
"Almond Shaving Rash Oil","almond-shaving-rash-oil","ayurvedic, natural remedy, divine cardinal, almond shaving rash oil, almond, shaving, rash, oil, men care, care, essential oils: lavender, s: lavender, extracts: lavender, chamomile roman | carrier oils: evening prime rose, jajoba, almond oil"
"Myrrh After Shave","myrrh-after-shave","ayurvedic, natural remedy, divine cardinal, myrrh after shave, myrrh, after, shave, men care, care, essential oils: chamomile german, s: chamomile german, extracts: chamomile german, lavender, peppermint, lemon | carrier oils: tincture of myrrh, rose water"
"Sandalwood Beard Oil","sandalwood-beard-oil","ayurvedic, natural remedy, divine cardinal, sandalwood beard oil, sandalwood, beard, oil, men care, care, essential oils: rosemary, s: rosemary, extracts: rosemary, lavender, lemon | carrier oils: argan, jajoba"
"Hangover Relief Roll-On","hangover-relief-roll-on","ayurvedic, natural remedy, divine cardinal, hangover relief roll-on, hangover, relief, rollon, men care, care, essential oils: grape fruit, s: grape fruit, extracts: grape fruit, rosemary, peppermint, cardamom, geranium, juniper berry"
"Crankiness Soothing Chamomile Oil","crankiness-soothing-chamomile-oil","ayurvedic, natural remedy, divine cardinal, crankiness soothing chamomile oil, crankiness, soothing, chamomile, oil, baby care range, baby, care, range, essential oils: chamomile roman, s: chamomile roman, extracts: chamomile roman, lavender | carrier oils: almond oil"
"Ravensara Cough and Cold Relief Oil","ravensara-cough-and-cold-relief-oil","ayurvedic, natural remedy, divine cardinal, ravensara cough and cold relief oil, ravensara, cough, and, cold, relief, oil, baby care range, baby, care, range, essential oils: ravensara, s: ravensara, extracts: ravensara, lavender, thyme linalol, fragonia | carrier oils: almond oil"
"Geranium Insomnia Care Oil","geranium-insomnia-care-oil","ayurvedic, natural remedy, divine cardinal, geranium insomnia care oil, geranium, insomnia, care, oil, baby care range, baby, range, essential oils: chamomile roman, s: chamomile roman, extracts: chamomile roman, lavender, frankincense | carrier oils: almond oil"
"Ravintsara Baby Flu Relief Oil","ravintsara-baby-flu-relief-oil","ayurvedic, natural remedy, divine cardinal, ravintsara baby flu relief oil, ravintsara, baby, flu, relief, oil, baby care range, care, range, essential oils: ravintsara, s: ravintsara, extracts: ravintsara, ho wood, palmarosa, thyme linalol | carrier oils: almond oil, neem oil"
"Coriander Seed Baby Tummy Ache Relief Oil","coriander-seed-baby-tummy-ache-relief-oil","ayurvedic, natural remedy, divine cardinal, coriander seed baby tummy ache relief oil, coriander, seed, baby, tummy, ache, relief, oil, baby care range, care, range, essential oils: coriander seed, s: coriander seed, extracts: coriander seed, geranium, orange sweet | carrier oils: almond oil, evening prime rose"
"Tea Tree Tonsillitis Relief Oil","tea-tree-tonsillitis-relief-oil","ayurvedic, natural remedy, divine cardinal, tea tree tonsillitis relief oil, tea, tree, tonsillitis, relief, oil, baby care range, baby, care, range, essential oils: lavender, s: lavender, extracts: lavender, tea tree, niaouli, lemon | carrier oils: almond oil, evening prime rose"
"Thyme Bronchitis Relief Oil","thyme-bronchitis-relief-oil","ayurvedic, natural remedy, divine cardinal, thyme bronchitis relief oil, thyme, bronchitis, relief, oil, baby care range, baby, care, range, essential oils: thyme linalol, s: thyme linalol, extracts: thyme linalol, ravensara, chamomile roman | carrier oils: almond oil, evening prime rose"
"Cypress Baby Pain Relief Massage Oil","cypress-baby-pain-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, cypress baby pain relief massage oil, cypress, baby, pain, relief, massage, oil, baby care range, care, range, essential oils: cypress, s: cypress, extracts: cypress, rosemary, lavender | carrier oils: almond oil, evening prime rose"
"Mandarin Baby Constipation Easing Oil","mandarin-baby-constipation-easing-oil","ayurvedic, natural remedy, divine cardinal, mandarin baby constipation easing oil, mandarin, baby, constipation, easing, oil, baby care range, care, range, essential oils: geranium, s: geranium, extracts: geranium, patchouli, mandarin | carrier oils: neem oil"
"Manuka Eczema Relief Oil","manuka-eczema-relief-oil","ayurvedic, natural remedy, divine cardinal, manuka eczema relief oil, manuka, eczema, relief, oil, baby care range, baby, care, range, essential oils: chamomile german, s: chamomile german, extracts: chamomile german, manuka | carrier oils: grapeseed oil, jajoba, evening prime rose"
"Rosemary Migraine Relief Oil","rosemary-migraine-relief-oil","ayurvedic, natural remedy, divine cardinal, rosemary migraine relief oil, rosemary, migraine, relief, oil, baby care range, baby, care, range, essential oils: chamomile roman, s: chamomile roman, extracts: chamomile roman, marjoram sweet, spearmint, bergamot, lavender | carrier oils: grapeseed oil, jajoba"
"Lemon Mumps Relief Oil","lemon-mumps-relief-oil","ayurvedic, natural remedy, divine cardinal, lemon mumps relief oil, lemon, mumps, relief, oil, baby care range, baby, care, range, essential oils: manuka, s: manuka, extracts: manuka, lavender, coriander seed, chamomile roman | carrier oils: almond oil, jajoba"
"Palmarosa Whooping Cough Relief Oil","palmarosa-whooping-cough-relief-oil","ayurvedic, natural remedy, divine cardinal, palmarosa whooping cough relief oil, palmarosa, whooping, cough, relief, oil, baby care range, baby, care, range, essential oils: thyme linalol, s: thyme linalol, extracts: thyme linalol, ravensara, frankincense, lavender | carrier oils: almond oil, evening prime rose"
"Ginger Warm Paralysis Care Oil","ginger-warm-paralysis-care-oil","ayurvedic, natural remedy, divine cardinal, ginger warm paralysis care oil, ginger, warm, paralysis, care, oil, baby care range, baby, range, essential oils: ginger, s: ginger, extracts: ginger, petitgrain, black pepper, geranium, orange sweet | carrier oils: almond oil, evening prime rose"
"Spearmint Cool Paralysis Care Oil","spearmint-cool-paralysis-care-oil","ayurvedic, natural remedy, divine cardinal, spearmint cool paralysis care oil, spearmint, cool, paralysis, care, oil, baby care range, baby, range, essential oils: lemon, s: lemon, extracts: lemon, lavender, chamomile roman, spearmint | carrier oils: almond oil, evening prime rose"
"Coriander Seed Colic Roll-on","coriander-seed-colic-roll-on","ayurvedic, natural remedy, divine cardinal, coriander seed colic roll-on, coriander, seed, colic, rollon, baby care range, baby, care, range, essential oils: coriander seed | carrier oils: almond oil, s: coriander seed | carrier oils: almond oil, extracts: coriander seed | carrier oils: almond oil"
"Pregnancy Back Rub Massage Oil","pregnancy-back-rub-massage-oil","ayurvedic, natural remedy, divine cardinal, pregnancy back rub massage oil, pregnancy, back, rub, massage, oil, mother care, mother, care, essential oils: neroli, s: neroli, extracts: neroli, geranium, lavender | carrier oils: black seed oil, evening prime rose"
"Spearmint Morning Sickness Roll-on","spearmint-morning-sickness-roll-on","ayurvedic, natural remedy, divine cardinal, spearmint morning sickness roll-on, spearmint, morning, sickness, rollon, mother care, mother, care, essential oils: spearmint, s: spearmint, extracts: spearmint, ginger, cardamom, lavender | carrier oils: black seed oil, evening prime rose"
"Nausea Roll On","nausea-roll-on","ayurvedic, natural remedy, divine cardinal, nausea roll on, nausea, roll, mother care, mother, care, essential oils: grape fruit, s: grape fruit, extracts: grape fruit, ginger, cardamom | carrier oils: evening prime rose"
"Anti-Stretch Marks Oil","anti-stretch-marks-oil","ayurvedic, natural remedy, divine cardinal, anti-stretch marks oil, antistretch, marks, oil, mother care, mother, care, essential oils: avocardo oil, s: avocardo oil, extracts: avocardo oil, evening prime rose, jajoba, rosehip oil, almond oil"
"Nourishing Jojoba Hair Oil","nourishing-jojoba-hair-oil","ayurvedic, natural remedy, divine cardinal, nourishing jojoba hair oil, nourishing, jojoba, hair, oil, hair care, care, carrier oils: argan, camellia oil, meaowfoam oil, wheatgerm oil, jajoba"
"Soothing Lavender Hair Oil","soothing-lavender-hair-oil","ayurvedic, natural remedy, divine cardinal, soothing lavender hair oil, soothing, lavender, hair, oil, hair care, care, essential oils: clary sage, s: clary sage, extracts: clary sage, frankincense, petitgrain, chamomile roman, bergamot | carrier oils: hair oil"
"Stimulating Grapefruit Hair Oil","stimulating-grapefruit-hair-oil","ayurvedic, natural remedy, divine cardinal, stimulating grapefruit hair oil, stimulating, grapefruit, hair, oil, hair care, care, essential oils: basil sweet, s: basil sweet, extracts: basil sweet, cardamom, geranium, bay laurel, grape fruit | carrier oils: hair oil"
"Sandalwood Hair Loss Oil","sandalwood-hair-loss-oil","ayurvedic, natural remedy, divine cardinal, sandalwood hair loss oil, sandalwood, hair, loss, oil, hair care, care, essential oils: cedarwood, s: cedarwood, extracts: cedarwood, cypress, clary sage, chamomile roman, fennel sweet | carrier oils: avocardo oil, jajoba"
"Lavender Warm Compress Oil","lavender-warm-compress-oil","ayurvedic, natural remedy, divine cardinal, lavender warm compress oil, lavender, warm, compress, oil, women's care, womens, care, essential oils: lavender, s: lavender, extracts: lavender, cardamom, geranium | carrier oils: evening prime rose"
"Anti-Dandruff Neem Roll-On","anti-dandruff-neem-roll-on","ayurvedic, natural remedy, divine cardinal, anti-dandruff neem roll-on, antidandruff, neem, rollon, hair care, hair, care, essential oils: neem oil, s: neem oil, extracts: neem oil, jajoba, evening prime rose, cypress, juniper berry | carrier oils: hair oil"
"16	Lavender Well-Being Enhancing Oil","16-lavender-well-being-enhancing-oil","ayurvedic, natural remedy, divine cardinal, 16	lavender well-being enhancing oil, 16lavender, wellbeing, enhancing, oil, wellness category, wellness, category, essential oils: cypress, s: cypress, extracts: cypress, citridora/eucalyptus lemon, geranium | carrier oils: walnut oil, jajoba"
"Rose Day Care Oil (normal skin)","rose-day-care-oil-normal-skin","ayurvedic, natural remedy, divine cardinal, rose day care oil (normal skin), rose, day, care, oil, normal, skin, face & body, face, body, essential oils: rose, s: rose, extracts: rose, geranium, chamomile roman, lavender, lemon | carrier oils: rosehip oil, carrot seed, almond oil"
"Lavender Gentle Cleansing Oil","lavender-gentle-cleansing-oil","ayurvedic, natural remedy, divine cardinal, lavender gentle cleansing oil, lavender, gentle, cleansing, oil, face & body, face, body, essential oils: lavender, s: lavender, extracts: lavender, orange sweet, chamomile roman, rosewood, geranium | carrier oils: almond oil, apricot, jajoba"
"Chamomile Day Care Oil (dry skin)","chamomile-day-care-oil-dry-skin","ayurvedic, natural remedy, divine cardinal, chamomile day care oil (dry skin), chamomile, day, care, oil, dry, skin, face & body, face, body, essential oils: chamomile german, s: chamomile german, extracts: chamomile german, sandalwood, mandarin, ho wood | carrier oils: olive squalane, rosehip oil, camellia oil"
"Juniper Berry Day Care Oil (oily skin)","juniper-berry-day-care-oil-oily-skin","ayurvedic, natural remedy, divine cardinal, juniper berry day care oil (oily skin), juniper, berry, day, care, oil, oily, skin, face & body, face, body, essential oils: juniper berry, s: juniper berry, extracts: juniper berry, geranium, petitgrain, rosemary | carrier oils: hazelnut, grapeseed oil"
"Anti-Stress Lemon Roll-On","anti-stress-lemon-roll-on","ayurvedic, natural remedy, divine cardinal, anti-stress lemon roll-on, antistress, lemon, rollon, women's care, womens, care, essential oils: lemon, s: lemon, extracts: lemon, grape fruit, geranium, vetiver | carrier oils: walnut oil, rosehip oil"
"Varicose Veins Relief Massage Oil","varicose-veins-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, varicose veins relief massage oil, varicose, veins, relief, massage, oil, women's care, womens, care, essential oils: peppermint, s: peppermint, extracts: peppermint, cypress, lemon, geranium | carrier oils: black seed oil, evening prime rose"
"Aggressive PMS Relief Massage Oil","aggressive-pms-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, aggressive pms relief massage oil, aggressive, pms, relief, massage, oil, women's care, womens, care, essential oils: palmarosa, s: palmarosa, extracts: palmarosa, bergamot, geranium, clary sage | carrier oils: black seed oil, evening prime rose"
"Irritable PMS Relief Massage Oil","irritable-pms-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, irritable pms relief massage oil, irritable, pms, relief, massage, oil, women's care, womens, care, essential oils: nutmeg, s: nutmeg, extracts: nutmeg, juniper berry, geranium, bergamot | carrier oils: black seed oil, evening prime rose"
"Exhaustion PMS Relief Massage Oil","exhaustion-pms-relief-massage-oil","ayurvedic, natural remedy, divine cardinal, exhaustion pms relief massage oil, exhaustion, pms, relief, massage, oil, women's care, womens, care, essential oils: clary sage, s: clary sage, extracts: clary sage, grape fruit, black pepper, basil sweet, cypress, geranium | carrier oils: black seed oil, evening prime rose"
